"tag"	"moltype"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
K8B78_00005	cds	1.38205600814952	-2.96312991251584	1.88154676689891	-1.57483723744989	0.115294018717267	NA
K8B78_00010	cds	2.49953071799522	-2.11419909663631	1.24925528772341	-1.69236753881517	0.0905759176449657	0.756487202558955
K8B78_00015	cds	0.672580516932451	-0.148909598872127	2.78448076579718	-0.0534784081474864	0.957350733829109	NA
K8B78_00020	cds	1.45689147530849	0.864634839397438	1.68072769062225	0.514440765283831	0.606943864343951	NA
K8B78_00025	cds	1.20418802672177	-1.5563918380644	1.88920448577919	-0.823834502712645	0.410033600162591	NA
K8B78_00030	cds	7.16841791295836	-0.952533306029886	0.671812552684317	-1.41785577275076	0.156232877038858	0.875299394903004
K8B78_00035	cds	1.16739011181555	-0.677981307131603	1.8044347881703	-0.37573056758625	0.707117210565544	NA
K8B78_00040	cds	0.186434739109616	0.69851164813038	4.0804728567969	0.171183995738842	0.864079091295167	NA
K8B78_00045	cds	0.127432626852749	0.69851164813038	4.0804728567969	0.171183995738842	0.864079091295167	NA
K8B78_00050	cds	0	NA	NA	NA	NA	NA
K8B78_00055	cds	0	NA	NA	NA	NA	NA
K8B78_00060	cds	0	NA	NA	NA	NA	NA
K8B78_00065	cds	0.818514540556071	1.71212294757121	2.50200087288057	0.684301498903969	0.493784800677486	NA
K8B78_00070	cds	0.307732586831542	-0.263261024083251	4.0804728567969	-0.0645172834919692	0.948558345545108	NA
K8B78_00075	cds	0.581670768854636	1.12621249336149	3.44583368212115	0.326833096793062	0.743794125291756	NA
K8B78_00080	cds	2.83330633494915	-1.20649538475923	1.06014591426072	-1.13804653541543	0.255101051255828	0.977226285358722
K8B78_00085	cds	2.01996923061234	1.44473362023379	1.33778549782059	1.07994414843593	0.280167052019951	0.977226285358722
K8B78_00100	cds	0.127432626852749	0.69851164813038	4.0804728567969	0.171183995738842	0.864079091295167	NA
K8B78_00105	cds	1.49635256938445	1.69566271975438	1.709665625787	0.991809564501144	0.321290431083357	0.977226285358722
K8B78_00110	cds	0.885058286164454	1.91074096666953	2.3740721256256	0.804836949157988	0.42091377656815	NA
K8B78_00115	cds	0.905241573287303	-0.404314626946667	2.48166148574107	-0.16292094198574	0.870580681807209	NA
K8B78_00120	cds	0.787891442619014	0.181730283580874	2.92497947891657	0.0621304473726388	0.950458950332107	NA
K8B78_00125	cds	0.167933342338746	-1.22504170351211	4.0804728567969	-0.300220525048105	0.764008950054848	NA
K8B78_00130	cds	0.742897800515833	0.126851337801608	3.01866113238771	0.0420223841757524	0.966480853884186	NA
K8B78_00135	cds	0.180299959978792	-1.22504170351211	4.0804728567969	-0.300220525048105	0.764008950054848	NA
K8B78_00140	cds	0	NA	NA	NA	NA	NA
K8B78_00145	cds	0.127432626852749	0.69851164813038	4.0804728567969	0.171183995738842	0.864079091295167	NA
K8B78_00150	cds	0	NA	NA	NA	NA	NA
K8B78_00155	cds	1.34951981924179	-1.94460270333033	1.87479608269585	-1.03723424711561	0.299626701022547	NA
K8B78_00160	cds	0	NA	NA	NA	NA	NA
K8B78_00165	cds	0	NA	NA	NA	NA	NA
K8B78_00170	cds	0	NA	NA	NA	NA	NA
K8B78_00175	cds	0	NA	NA	NA	NA	NA
K8B78_00180	cds	0.137912475505296	0.69851164813038	4.0804728567969	0.171183995738842	0.864079091295167	NA
K8B78_00185	cds	0	NA	NA	NA	NA	NA
K8B78_00190	cds	1.82948591739644	3.13973916971544	1.64896027365521	1.90407205065993	0.0569008011639914	0.649240172170325
K8B78_00195	cds	0	NA	NA	NA	NA	NA
K8B78_00200	cds	0.275824951010593	1.50446712001198	4.04727167565451	0.371723778530059	0.710098518947046	NA
K8B78_00205	cds	0.443758293349339	0.543465612909461	3.92506612144503	0.138460244004598	0.889876687614801	NA
K8B78_00210	cds	0.706645095173161	2.85142187144406	2.8148813710955	1.0129811866048	0.311069147243502	NA
K8B78_00215	cds	0	NA	NA	NA	NA	NA
K8B78_00220	cds	0	NA	NA	NA	NA	NA
K8B78_00225	cds	0	NA	NA	NA	NA	NA
K8B78_00230	cds	0	NA	NA	NA	NA	NA
K8B78_00235	cds	0.186434739109616	0.69851164813038	4.0804728567969	0.171183995738842	0.864079091295167	NA
K8B78_00240	cds	0	NA	NA	NA	NA	NA
K8B78_00245	cds	0.658122831568841	2.76058019123613	3.14672884800949	0.877285690815839	0.380331482389675	NA
K8B78_00250	cds	4.10732877451107	0.647233181444059	0.843048775640351	0.767729222965116	0.442648070944021	0.995826338602843
K8B78_00255	cds	0	NA	NA	NA	NA	NA
K8B78_00260	cds	0.984029620198932	-1.42352434548369	2.39361845624117	-0.594716481138403	0.552033003223165	NA
K8B78_00265	cds	7.184461009195	-0.669594825565448	0.654043275100004	-1.0237775557941	0.305940353739606	0.977226285358722
K8B78_00270	cds	0.581670768854636	1.12621249336149	3.44583368212115	0.326833096793062	0.743794125291756	NA
K8B78_00275	cds	2.18514339942771	-1.45978464731151	1.21083867483531	-1.20559796911844	0.227972542649729	0.977226285358722
K8B78_00280	cds	0.167933342338746	-1.22504170351211	4.0804728567969	-0.300220525048105	0.764008950054848	NA
K8B78_00285	cds	0	NA	NA	NA	NA	NA
K8B78_00290	cds	0	NA	NA	NA	NA	NA
K8B78_00295	cds	0	NA	NA	NA	NA	NA
K8B78_00300	cds	0	NA	NA	NA	NA	NA
K8B78_00305	cds	0	NA	NA	NA	NA	NA
K8B78_00310	cds	0	NA	NA	NA	NA	NA
K8B78_00315	cds	0	NA	NA	NA	NA	NA
K8B78_00320	cds	0	NA	NA	NA	NA	NA
K8B78_00325	cds	0	NA	NA	NA	NA	NA
K8B78_00330	cds	0	NA	NA	NA	NA	NA
K8B78_00335	cds	0	NA	NA	NA	NA	NA
K8B78_00340	cds	6.78278826230524	-1.05191495423023	0.711219398214419	-1.47903017953555	0.139132249036007	0.846788428179565
K8B78_00345	cds	0	NA	NA	NA	NA	NA
K8B78_00350	cds	0	NA	NA	NA	NA	NA
K8B78_00355	cds	0	NA	NA	NA	NA	NA
K8B78_00360	cds	0.167933342338746	-1.22504170351211	4.0804728567969	-0.300220525048105	0.764008950054848	NA
K8B78_00365	cds	0	NA	NA	NA	NA	NA
K8B78_00370	cds	0.187077008051562	-1.22504170351211	4.0804728567969	-0.300220525048106	0.764008950054848	NA
K8B78_00375	cds	0.475665929170288	-1.1311290285775	3.50396111995969	-0.322814377743586	0.746835823628213	NA
K8B78_00380	cds	2.77525860962742	-0.565932411887937	1.11508880927526	-0.507522277311491	0.611788409494674	0.99691600623528
K8B78_00385	cds	1.24630047506398	-0.37188818862744	1.76216715081599	-0.211040245787826	0.832855866916191	NA
K8B78_00390	cds	0.382297880558248	1.98126111884408	4.00840382402356	0.494276825845189	0.62111068916803	NA
K8B78_00395	cds	1.20186386742785	2.37611771336328	2.15011188764642	1.10511351851752	0.269110403602435	NA
K8B78_00400	cds	4.56385800017301	2.4496092128484	1.00452867367982	2.43856574434547	0.0147456761621836	0.321679408262595
