"tag"	"moltype"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
SA597_0001	cds	3.72392613078928	0.0474228365795233	0.980083856769766	0.0483865092277135	0.961408210788559	0.997707303814983
SA597_0002	cds	4.26227023825791	-0.199070955315783	0.990468706721955	-0.20098661771418	0.840709038073526	0.997707303814983
SA597_0003	cds	2.16849523005653	-0.477017940188984	1.26414922707277	-0.377343062016146	0.705918674480098	0.997707303814983
SA597_0004	cds	3.49855736348009	1.32164638685069	1.09598066282646	1.2059030160644	0.227854887579527	0.997707303814983
SA597_0005	cds	12.0198579391934	-0.136064237120924	0.639273786382282	-0.21284188405554	0.831450293407998	0.997707303814983
SA597_0006	cds	37.7827915912254	-0.145181511074571	0.361754428788971	-0.401326147023518	0.688180015384567	0.997707303814983
SA597_0007	cds	7.68611168070827	0.043965942924888	0.749272968563487	0.0586781383681569	0.953208472383572	0.997707303814983
SA597_0008	cds	1.14586673468789	-1.61409114402921	1.78610737960612	-0.903692108581485	0.366158684731119	0.997707303814983
SA597_0009	cds	14.1671668567047	0.0874753407461294	0.542704677382952	0.161184055328131	0.871948438917006	0.997707303814983
SA597_0010	cds	1.55308559647805	0.703755542580004	1.67392390228674	0.420422661758165	0.674176715982939	0.997707303814983
SA597_0011	cds	0.26571322229939	-0.99771262399539	3.47406639566785	-0.287188703485786	0.77396783548082	0.997707303814983
SA597_0012	cds	1.08126965537885	-3.01424388242907	2.04017849387397	-1.47744125892902	0.139557393298327	0.997707303814983
SA597_0013	cds	3.02974081771719	0.514738235147635	1.10144297369959	0.467330808256649	0.640263217764691	0.997707303814983
SA597_0014	cds	13.8332357861094	0.518753968629255	0.547945361373024	0.946725723399461	0.343778559121349	0.997707303814983
SA597_0015	cds	1.74375352955106	0.0667295090125703	1.42295782889409	0.0468949308669476	0.962596968233372	0.997707303814983
SA597_0016	cds	16.4043702966485	-0.454601690205894	0.488493554350346	-0.930619628769667	0.35205035726089	0.997707303814983
SA597_0017	cds	1.09261994786195	-1.65577136828258	1.91046655962719	-0.866684297581053	0.386115011330649	0.997707303814983
SA597_0018	cds	1.76001616191907	-0.380830204718295	1.41259758742098	-0.269595678280597	0.787471325511722	0.997707303814983
SA597_0019	cds	16.6062680838175	0.0271987453041902	0.481999684444552	0.0564289691092507	0.955000079703923	0.997707303814983
